,Caption,Topic_ID,Topic_Name
0,Well done @jai.bajaj0786 lost 39kgs without counting calories   WHATSAPP ME NOW FOR PAID TRAINING 9171123324..,3,Weight Management
1,⚠️⚠️‼️TRANSFORMATION ALERT ⚠️⚠️‼️  If he keen do it … why not you..  ✅Interested in Paid transformation?? Message me now or Whatsapp me on +919171123324 ✅,17,Health Awareness
2,Shredded mode on @manavkansagra1111 under my guidance…   Pure veg🌱  Wanna get transformed DM me now for paid training..,3,Weight Management
3,Comment “Atta” and I will send you the link of Healthy atta in your message inbox.,2,Nutrition & Diet Tips
4,Dinner Date ❤️🧿❤️🥂  #couple #love #couplegoals #wedding #photography #couples #instagood #instagram #cute #bride #happy #weddingphotography #photooftheday #like #relationshipgoals #kiss #beautiful #couplelove #family #prewedding #explore #follow #loveyou #fashion #relationship #lovequotes #weddingday #viral #art #trending,5,Lifestyle & Motivation
5,Luxury meets legacy — the Compass leads the way. 💯 #styleonwheels ❤️🧿❤️ #jeep #instagram #post #like #lovetotravel #traveler,5,Lifestyle & Motivation
6,New Jeep. New roads. Endless adventures begin now.❤️🧿❤️ #instagram #reel #jeep #luxury #travelgram,5,Lifestyle & Motivation
7,Comment “almond” and I will send you the recipe of this amazing almond bread which you can make at your place.,2,Nutrition & Diet Tips
8,Comment “share” and I will send you a blueprint of how to gain muscles without gaining fat,-1,Nutrition & Diet Tips
9,"Comment “Real” will send you cholesterol friendly foods, which will help you raise your cholesterol parameter, which is a Band-Aid for your body.  Cholesterol Explained: Understanding the Importance of HDL, LDL, and Triglycerides  We discuss the importance of understanding different cholesterol parameters like HDL, LDL, and triglycerides. We emphasize that increasing HDL and LDL through healthy fats and protein is normal and beneficial, while high triglycerides are a concern that can be addressed by reducing sugar intake. We also highlight the positive effects of good cholesterol on overall health, including boosting testosterone and promoting natural healing.",13,Health Awareness
10,GYM GUYS HIGH 5,-1,Nutrition & Diet Tips
11,How to reduce sugar cravings…   Salt a perfect antidote ✅,9,Sugar & Metabolic Health
12,Comment “Sugar” and I will send you a blueprint of how to eradiate sugar from your lifestyle.,9,Sugar & Metabolic Health
13,Banana for energy..??? No pls take salt water☝️,-1,Nutrition & Diet Tips
14,Inko natural bodybuilding ka ABC nahi pata,1,Health Awareness
15,Comment “real”and I will send you a few real food option which you should start implementing without even counting calories.  WhatsApp me now for Paid transformation on 9171123324. Looking forward to have you on board   Team leanbeast.,-1,Nutrition & Diet Tips
